x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
5.99156,18.204262,16210,1.0,I,I-B,14.0,flsh
14.256991,8.617232,16211,1.0,III,III-A,10.0,flsh
13.058524,5.355137,16212,1.0,III,III-D,9.0,flsh
12.213447,8.713079,16213,1.0,III,III-A,7.0,flsh
11.510777,14.682569,16214,1.0,I,I-C,9.0,flsh
4.696066,0.7481151,16215,1.0,I,I-E,8.0,flsh
3.7871945,18.899607,16216,1.0,I,I-B,11.0,flsh
1.8388622,12.392551,16217,1.0,I,I-E,3.0,flsh
14.260916,8.084409,16218,1.0,III,III-A,11.0,flsh
5.6233034,0.42415434,16219,1.0,I,I-E,11.0,flsh
11.473649,9.5674715,16220,1.0,III,III-A,3.0,flsh
11.232127,5.705098,16221,1.0,III,III-B,10.0,flsh
3.5065863,9.964247,16222,1.0,I,I-F,5.0,benchmark
5.9651866,5.9320087,16223,1.0,I,I-F,6.0,benchmark
3.2154431,12.845669,16224,1.0,I,I-F,5.0,benchmark
5.57842,0.48013565,16225,1.0,I,I-E,8.0,benchmark
5.589414,0.47267425,16226,1.0,I,I-E,8.0,benchmark
19.564352,11.187736,16227,1.0,I,I-E,12.0,benchmark
4.4848285,3.1430945,16228,1.0,I,I-E,12.0,benchmark
0.82425576,9.916612,16229,1.0,I,I-E,12.0,benchmark
5.6427355,5.794811,16230,1.0,I,I-F,6.0,benchmark
-3.6756341,12.812452,16231,1.0,I,I-F,6.0,benchmark
-3.6629198,12.788873,16232,1.0,I,I-F,6.0,benchmark
5.6246905,5.7607913,16233,1.0,I,I-F,6.0,benchmark
5.631674,5.770035,16234,1.0,I,I-F,6.0,benchmark
5.635471,5.7777476,16235,1.0,I,I-F,6.0,benchmark
5.6296234,5.770929,16236,1.0,I,I-F,6.0,benchmark
5.62353,5.779251,16237,1.0,I,I-F,6.0,benchmark
6.03202,-8.402052,16238,1.0,I,I-E,11.0,benchmark
10.61987,19.231085,16239,1.0,I,I-E,12.0,benchmark
-6.2196107,19.233288,16240,1.0,I,I-E,12.0,benchmark
12.523911,18.726854,16241,1.0,I,I-E,13.0,benchmark
12.568769,18.758345,16242,1.0,I,I-E,11.0,benchmark
12.533108,18.726805,16243,1.0,I,I-E,9.0,benchmark
4.0461917,3.7854261,16244,1.0,I,I-E,12.0,benchmark
-8.308189,18.850424,16245,1.0,I,I-E,12.0,benchmark
5.374499,-1.8731893,16246,1.0,I,I-E,10.0,flsh
0.3307954,3.0893245,16247,2.0,II,II-A,4.0,flsh
4.0142274,5.06757,16248,1.0,I,I-E,12.0,flsh
5.318995,6.3935947,16249,1.0,I,I-F,10.0,benchmark
6.236537,-0.8464918,16250,1.0,I,I-E,8.0,benchmark
-1.5366045,4.124207,16251,2.0,II,II-A,8.0,benchmark
5.970312,11.514039,16252,1.0,IV,IV-B,5.0,benchmark
6.117788,11.544158,16253,1.0,IV,IV-B,6.0,benchmark
3.954852,11.768772,16254,1.0,IV,IV-B,5.0,benchmark
5.847074,18.016638,16255,1.0,I,I-B,7.0,benchmark
10.953562,7.643972,16256,1.0,III,III-B,5.0,benchmark
10.262709,19.354216,16257,1.0,I,I-E,11.0,benchmark
10.259206,19.359669,16258,1.0,I,I-E,11.0,benchmark
-0.03114052,18.504929,16259,1.0,I,I-D,11.0,benchmark
-0.048775695,18.520567,16260,1.0,I,I-D,9.0,benchmark
3.9527416,18.139467,16261,1.0,I,I-B,8.0,benchmark
3.9070876,18.105272,16262,1.0,I,I-B,9.0,benchmark
