x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,category
-0.17089234,13.064039,15891,1.0,I,I-B,8.0,benchmark,I
5.559134,-11.591023,15892,1.0,I,I-E,11.0,benchmark,I
5.5359573,-11.613693,15893,1.0,I,I-E,11.0,benchmark,I
5.537523,-11.575346,15894,1.0,I,I-E,11.0,benchmark,I
5.5250993,-11.622992,15895,1.0,I,I-E,11.0,benchmark,I
5.554364,-11.60523,15896,1.0,I,I-E,11.0,benchmark,I
5.499223,-11.651062,15897,1.0,I,I-E,11.0,benchmark,I
1.029573,-7.221052,15898,1.0,I,I-E,14.0,benchmark,I
7.259512,12.492677,15899,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,15.0,flsh,Not-Annotated-By-Cctyper
10.474133,15.4439535,15900,1.0,I,I-C,9.0,benchmark,I
0.022171447,11.14381,15901,1.0,I,I-C,7.0,benchmark,I
6.5787773,19.969925,15902,2.0,II,II-A,4.0,benchmark,II
7.164898,17.752003,15903,2.0,II,II-A,3.0,benchmark,II
10.324357,20.252445,15904,1.0,I,I-C,7.0,benchmark,I
18.92771,6.1957126,15905,2.0,II,II-A,4.0,benchmark,II
6.3541474,1.8313652,15906,1.0,I,I-F,7.0,benchmark,I
6.2779617,12.505991,15907,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,12.0,flsh,Not-Annotated-By-Cctyper
10.188642,-6.7574396,15908,1.0,III,III-A,5.0,benchmark,III
10.189961,-6.7616673,15909,1.0,III,III-A,5.0,benchmark,III
8.586896,4.8526917,15910,1.0,I,I-E,7.0,benchmark,I
11.963537,8.520993,15911,1.0,I,I-B,12.0,benchmark,I
9.497171,8.828185,15912,1.0,I,I-B,4.0,benchmark,I
13.803692,8.501211,15913,1.0,I,I-F,6.0,benchmark,I
6.4899635,19.77774,15914,2.0,II,II-A,7.0,benchmark,II
8.031161,5.702634,15915,1.0,I,I-E,9.0,flsh,I
8.009685,8.381175,15916,1.0,I,I-G,5.0,flsh,I
8.372102,7.5408278,15917,1.0,I,I-G,6.0,flsh,I
6.8304386,4.253031,15918,1.0,I,I-E,8.0,flsh,I
6.865547,4.167431,15919,1.0,I,I-E,8.0,flsh,I
8.328179,7.5170937,15920,1.0,I,I-G,8.0,flsh,I
6.731972,8.946096,15921,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,14.0,flsh,Not-Annotated-By-Cctyper
6.886031,4.2424817,15922,1.0,I,I-E,9.0,flsh,I
6.8691654,4.9447837,15923,1.0,I,I-E,5.0,flsh,I
8.107439,8.246157,15924,1.0,I,I-G,6.0,flsh,I
8.392597,7.5082135,15925,1.0,I,I-G,6.0,flsh,I
8.437224,11.154842,15926,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,Not-Annotated-By-Cctyper
8.44223,8.091449,15927,1.0,I,I-G,6.0,flsh,I
6.031703,13.540785,15928,1.0,III,III-A,9.0,flsh,III
-0.28156623,9.605323,15929,1.0,I,I-C,6.0,flsh,I
8.3569765,7.454955,15930,1.0,I,I-G,11.0,flsh,I
8.424446,7.4554777,15931,1.0,I,I-G,6.0,flsh,I
8.228567,5.717705,15932,1.0,I,I-E,8.0,flsh,I
7.690645,9.197111,15933,1.0,I,I-G,3.0,flsh,I
3.0982747,8.839773,15934,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,Not-Annotated-By-Cctyper
9.540094,12.067159,15935,2.0,II,II-D,1.0,benchmark,II
9.535193,12.06545,15936,2.0,V,V-K,1.0,benchmark,V
9.566013,12.056845,15937,2.0,V,V-K,1.0,benchmark,V
9.536001,12.069329,15938,2.0,V,V-K,1.0,benchmark,V
9.54767,12.067496,15939,2.0,II,II-D,1.0,benchmark,II
4.8058157,-0.8971356,15940,1.0,I,I-F,7.0,benchmark,I
