x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
1.7281188,10.628287,4600,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,87.0,flsh
18.964045,11.145881,4601,1.0,III,III-A,6.0,flsh
17.80166,12.29459,4602,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,13.0,flsh
11.459899,11.51059,4603,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh
15.264449,7.854442,4604,1.0,I,I-A,10.0,flsh
3.3542418,11.056961,4605,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh
3.036134,13.819998,4606,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh
7.905207,8.035769,4607,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh
3.736965,10.636392,4608,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh
8.068997,7.4400744,4609,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh
6.908071,9.899594,4610,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh
13.661618,10.7520685,4611,1.0,I,I-A,6.0,flsh
19.160843,11.311372,4612,1.0,III,III-B,14.0,flsh
3.004281,14.089658,4613,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh
16.959368,12.305069,4614,1.0,III,III-A,3.0,flsh
6.123259,11.63232,4615,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh
3.0971272,12.20608,4616,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh
14.960714,7.5631204,4617,1.0,I,I-A,9.0,flsh
14.336564,7.0893235,4618,1.0,I,I-D,4.0,flsh
16.692226,12.469197,4619,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh
16.785585,12.345695,4620,1.0,III,III-D,3.0,flsh
19.311293,11.695173,4621,1.0,III,III-A,12.0,flsh
