x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
3.443939,7.3243504,3777,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,30,flsh
16.343596,-3.1409936,3778,2,V,V-F2,1,flsh
16.32098,-3.1347132,3779,2,V,V-F2,1,flsh
16.360115,-3.1513321,3780,2,V,V-F2,1,flsh
16.335682,-3.141704,3781,2,V,V-F2,1,flsh
16.416393,-3.2033887,3782,2,V,V-F2,1,flsh
16.370502,-3.1320379,3783,2,V,V-F2,1,flsh
8.763382,3.0672264,3784,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
8.124518,7.727623,3785,1,I,I-B,6,flsh
4.2998624,5.642585,3786,1,III,III-D,4,flsh
11.639998,3.0864954,3787,1,III,III-A,4,flsh
6.9232893,2.4986718,3788,1,I,I-G,3,flsh
7.3797846,5.4765615,3789,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
7.5546627,16.337704,3790,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
7.0778394,4.4093804,3791,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6,flsh
9.209322,10.372523,3792,1,I,I-B,8,flsh
10.540621,6.790414,3793,2,II,II-A,3,flsh
4.7208686,0.90591925,3794,1,I,I-E,6,flsh
1.5875974,7.61221,3795,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
8.232379,4.864006,3796,1,III,III-D,15,flsh
9.365374,5.686347,3797,2,II,II-A,4,flsh
15.763371,4.8727827,3798,1,I,I-C,6,flsh
8.637017,4.863177,3799,1,I,I-C,4,flsh
4.982062,3.6655,3800,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
4.0605617,-1.6204656,3801,1,I,I-E,9,flsh
7.0435023,5.9384556,3802,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,11,flsh
5.831331,2.097661,3803,1,I,I-G,8,flsh
