x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
12.172149,13.858016,15014,2.0,VI,VI-B1,1.0,benchmark
6.862066,12.882901,15015,2.0,VI,VI-B1,1.0,benchmark
6.862182,12.8837805,15016,2.0,VI,VI-B1,1.0,benchmark
14.073913,12.273668,15017,1.0,I,I-C,5.0,flsh
14.073708,12.27409,15018,1.0,I,I-C,5.0,flsh
4.441385,12.122506,15019,2.0,II,II-A,4.0,benchmark
0.13506526,-10.974571,15020,1.0,I,I-C,14.0,benchmark
2.5825512,2.052959,15021,1.0,III,III-A,9.0,flsh
8.45571,-1.4163883,15022,1.0,I,I-B,8.0,flsh
-6.790619,8.668123,15023,1.0,I,I-E,12.0,benchmark
-10.308208,-9.123972,15024,1.0,I,I-E,12.0,benchmark
1.4121184,6.842258,15025,1.0,I,I-E,8.0,benchmark
9.494167,10.4159565,15026,1.0,I,I-F,6.0,benchmark
1.7213807,15.388533,15027,1.0,I,I-E,13.0,benchmark
-4.8870597,11.457119,15028,1.0,I,I-E,18.0,flsh
-4.9080834,11.440828,15029,1.0,I,I-E,12.0,flsh
-4.940698,11.42117,15030,1.0,I,I-E,11.0,flsh
-4.9382925,11.421952,15031,1.0,I,I-E,13.0,flsh
-4.8887677,11.432809,15032,1.0,I,I-E,16.0,flsh
-4.884837,11.440106,15033,1.0,I,I-E,16.0,flsh
-4.910829,11.4578495,15034,1.0,I,I-E,20.0,flsh
-4.910744,11.457663,15035,1.0,I,I-E,20.0,flsh
-4.8968406,11.456159,15036,1.0,I,I-E,15.0,flsh
7.283467,11.255143,15037,1.0,I,I-F,7.0,benchmark
-11.7769,4.7472653,15038,1.0,I,I-E,12.0,benchmark
-11.776992,4.747342,15039,1.0,I,I-E,12.0,benchmark
16.779804,-1.4470892,15040,1.0,I,I-C,7.0,benchmark
1.2516899,-0.5131608,15041,1.0,III,III-D,16.0,flsh
5.4062247,6.9340296,15042,1.0,I,I-E,4.0,flsh
-4.9139385,11.4719715,15043,1.0,I,I-E,11.0,flsh
5.250737,23.715595,15044,1.0,I,I-E,11.0,benchmark
5.2510166,23.71526,15045,1.0,I,I-E,11.0,benchmark
